Name,url,Active,Years Played,Position,Clubs Played,IOC
Milan Rehuš,/en/players/ed265e47/Milan-Rehus,True,2021-2024,MF,"Hoffenheim U19, Hoffenheim U17",SVK
Tomas Rigo,/en/players/f2cfb59a/Tomas-Rigo,True,2020-2024,MF,"Baník Ostrava, Slovakia",SVK
Marek Rodák,/en/players/17acc2ed/Marek-Rodak,True,2014-2024,GK,"Fulham, Slovakia, Rotherham United, Accrington Stanley, Welling United",SVK
Albert Rusnák,/en/players/0adeafaa/Albert-Rusnak,True,2013-2024,"FW,MF","Seattle Sounders FC, Real Salt Lake, Groningen, Slovakia, Cambuur, Birmingham City",SVK
Matus Rusnak,/en/players/2d9b7ca4/Matus-Rusnak,True,2022-2024,FW,Baník Ostrava,SVK
Dobrivoj Rusov,/en/players/b762b75a/Dobrivoj-Rusov,True,2014-2024,GK,"FC Spartak Trnava, Piast Gliwice",SVK
Nikola Rybanská,/en/players/b272142b/Nikola-Rybanska,True,2025,FW,,SVK
Pavol Šafranko,/en/players/fc5f3536/Pavol-Safranko,True,2017-2024,FW,"Sepsi Sfântu Gheorghe, Dundee United, Aalborg, Mamelodi Sundowns, Slovakia",SVK
Ľubomír Šatka,/en/players/d665d581/Lubomir-Satka,True,2014-2024,DF,"Slovakia, Samsunspor, Lech Poznań, York City",SVK
Leo Sauer,/en/players/4c53a688/Leo-Sauer,True,2023-2024,FW,"Feyenoord, Slovakia",SVK
Ivan Schranz,/en/players/7e277e7c/Ivan-Schranz,True,2014-2024,"FW,MF","Slavia Prague, Slovakia, Dukla Prague, České Budějovice, Jablonec",SVK
Boris Sekulić,/en/players/adf26bd4/Boris-Sekulic,True,2018-2024,"DF,MF","Górnik Zabrze, Chicago Fire, CSKA Sofia, Slovakia",SVK
Michal Sipľak,/en/players/c4a7bab8/Michal-Siplak,True,2014-2024,"DF,MF","Górnik Zabrze, Cracovia",SVK
Dávid Šipoš,/en/players/1d93926a/David-Sipos,True,2021-2024,GK,České Budějovice,SVK
Dominika Škorvánková,/en/players/e8382ec7/Dominika-Skorvankova,True,2016-2025,"DF,MF","FC Como Women, Bayern Munich, Montpellier, Slovakia, Sand",SVK
Lukáš Skovajsa,/en/players/f6e35802/Lukas-Skovajsa,True,2019-2023,DF,"České Budějovice, Dinamo București",SVK
Milan Škriniar,/en/players/30f5ffa9/Milan-Skriniar,True,2015-2024,"DF,MF","Slovakia, Internazionale, Paris Saint-Germain, Sampdoria",SVK
Michal Škvarka,/en/players/389f24bf/Michal-Skvarka,True,2019-2023,MF,"Ferencváros, Wisła Kraków, Levadiakos",SVK
Adrián Slávik,/en/players/79175ffa/Adrian-Slavik,True,2023-2024,FW,Jablonec,SVK
Viktor Sliacky,/en/players/006ee294/Viktor-Sliacky,True,2023-2024,FW,České Budějovice,SVK
Branislav Sluka,/en/players/8eebcab8/Branislav-Sluka,True,2021-2023,MF,"České Budějovice, MTK Budapest",SVK
Anna Sofia Škerdová,/en/players/186b2fd6/Anna-Sofia-Skerdova,True,2025,FW,,SVK
Nikolas Špalek,/en/players/9e90fb5d/Nikolas-Spalek,True,2017-2024,MF,"MTK Budapest, Brescia, TSC",SVK
Samuel Štefánik,/en/players/dbae26a7/Samuel-Stefanik,True,2013-2024,MF,"FC Spartak Trnava, Bruk-Bet Termalica Nieciecza, NEC Nijmegen, Podbeskidzie, ŠK Slovan Bratislava",SVK
