Name,url,Active,Years Played,Position,Clubs Played,IOC
Denis Granečný,/en/players/8bc999b6/Denis-Granecny,True,2015-2023,DF,"Baník Ostrava, Zbrojovka Brno, Mezőkövesd",CZE
Tomáš Grigar,/en/players/b81aa87d/Tomas-Grigar,True,2006-2024,GK,"Teplice, Sparta Prague",CZE
Samuel Grygar,/en/players/ec005b87/Samuel-Grygar,True,2023-2024,MF,Baník Ostrava,CZE
Matěj Hadaš,/en/players/08c995bd/Matej-Hadas,True,2020-2024,FW,Sigma Olomouc,CZE
Patrik Haitl,/en/players/4f0261ab/Patrik-Haitl,True,2020-2022,DF,Jablonec,CZE
Martin Hála,/en/players/5e992e8c/Martin-Hala,True,2011-2024,DF,"Bohemians 1905, Sigma Olomouc, Slovácko",CZE
Jan Halász,/en/players/26c1b886/Jan-Halasz,True,2021-2023,DF,FK Pardubice,CZE
Denis Halinský,/en/players/32821d05/Denis-Halinsky,True,2023-2024,DF,FK Pardubice,CZE
Marek Hanousek,/en/players/89420d0e/Marek-Hanousek,True,2011-2024,MF,"Widzew Łódź, Dukla Prague, Karviná, Viktoria Plzeň",CZE
Matěj Hanousek,/en/players/b387af71/Matej-Hanousek,True,2012-2024,DF,"Ankaragücü, Jablonec, Sparta Prague, Dukla Prague, Wisła Kraków, Gaziantep FK",CZE
Jan Hanuš,/en/players/5a08c41f/Jan-Hanus,True,2009-2024,GK,"Jablonec, Vysočina Jihlava, Slavia Prague, Hradec Králové",CZE
Štěpán Harazim,/en/players/9be86983/Stepan-Harazim,True,2019-2024,DF,"Hradec Králové, Opava",CZE
Roman Haša,/en/players/7765b23b/Roman-Hasa,True,2012-2021,FW,"Karviná, Slovácko",CZE
Dominik Hasek,/en/players/ac96d26c/Dominik-Hasek,True,2018-2022,DF,"Bohemians 1905, Mladá Boleslav",CZE
Pavel Hašek,/en/players/42410a9b/Pavel-Hasek,True,2022-2024,MF,Viktoria Plzeň,CZE
Lukáš Havel,/en/players/01d92287/Lukas-Havel,True,2014-2024,DF,České Budějovice,CZE
Milan Havel,/en/players/8454388c/Milan-Havel,True,2014-2024,"DF,MF","Viktoria Plzeň, Bohemians 1905, Czechia",CZE
Filip Havelka,/en/players/996f5c10/Filip-Havelka,True,2016-2024,MF,"Teplice, České Budějovice, Slovan Liberec, Sparta Prague",CZE
Marek Havlík,/en/players/76bc7333/Marek-Havlik,True,2012-2024,MF,Slovácko,CZE
Milan Heča,/en/players/8f1d4155/Milan-Heca,True,2010-2024,GK,"Slovácko, Sparta Prague",CZE
David Heidenreich,/en/players/1ff49805/David-Heidenreich,True,2019-2024,DF,"Hradec Králové, Jablonec, Teplice, SPAL",CZE
Lukáš Hejda,/en/players/61f63784/Lukas-Hejda,True,2009-2024,DF,"Viktoria Plzeň, Příbram, Sparta Prague, Jablonec",CZE
Matěj Helebrand,/en/players/1e56bce9/Matej-Helebrand,True,2018-2020,MF,Opava,CZE
Matěj Helešic,/en/players/5b042a79/Matej-Helesic,True,2014-2024,DF,"FK Pardubice, Opava, Baník Ostrava, České Budějovice",CZE
Jan Hellebrand,/en/players/29358ec3/Jan-Hellebrand,True,2019-2024,MF,Fastav Zlín,CZE
Patrik Hellebrand,/en/players/e5300b02/Patrik-Hellebrand,True,2016-2024,MF,"České Budějovice, Slovácko, Opava, Slavia Prague",CZE
Petr Heppner,/en/players/26b74383/Petr-Heppner,True,2017-2018,DF,,CZE
Jan Hladík,/en/players/c48e8c10/Jan-Hladik,True,2015-2023,FW,Zbrojovka Brno,CZE
Václav Hladký,/en/players/6658971d/Vaclav-Hladky,True,2012-2024,GK,"Ipswich Town, Salford City FC, St Mirren, Zbrojovka Brno, Slovan Liberec",CZE
Michal Hlavatý,/en/players/beb70641/Michal-Hlavaty,True,2015-2024,MF,"FK Pardubice, Mladá Boleslav",CZE
Adam Hložek,/en/players/5521f419/Adam-Hlozek,True,2018-2024,"FW,MF","Leverkusen, Czechia, Sparta Prague",CZE
Stanislav Hofmann,/en/players/ef524150/Stanislav-Hofmann,True,2015-2024,DF,Slovácko,CZE
Tomáš Holeš,/en/players/e03c2d97/Tomas-Holes,True,2011-2024,"DF,MF","Slavia Prague, Czechia, Hradec Králové, Jablonec",CZE
Libor Holík,/en/players/d92ab59f/Libor-Holik,True,2015-2024,DF,"Viktoria Plzeň, Fastav Zlín, Jablonec, Karviná, Vysočina Jihlava",CZE
Lukáš Holík,/en/players/c8d033e6/Lukas-Holik,True,2015-2022,MF,"Fastav Zlín, Dukla Prague, Opava, Karviná",CZE
Tomáš Holý,/en/players/66eb6bca/Tomas-Holy,True,2015-2024,GK,"Carlisle United, Gillingham, Ipswich Town, Fastav Zlín, Port Vale",CZE
Daniel Holzer,/en/players/6809ec76/Daniel-Holzer,True,2012-2024,MF,"Slovácko, Baník Ostrava, Fastav Zlín, Sparta Prague",CZE
Alex Honajzer,/en/players/7f534c18/Alex-Honajzer,True,2022-2024,MF,"Hoffenheim U19, Hoffenheim U17",CZE
Michael Hönig,/en/players/869f3a38/Michael-Honig,True,2019-2020,MF,,CZE
