Name,url,Active,Years Played,Position,Clubs Played,IOC
Hugo Anglada,/en/players/cc3a680d/Hugo-Anglada,True,2021-2024,DF,"CF Talavera de la Reina, Huesca",ESP
Pablo Antas,/en/players/b5ddf8c7/Pablo-Antas,True,2014-2024,MF,Compostela,ESP
Lisardo Antequera,/en/players/47cf8d58/Lisardo-Antequera,True,2023-2024,GK,Águilas,ESP
María Antolín,/en/players/9e9b0c10/Maria-Antolin,True,2023-2024,FW,Real Madrid,ESP
Antón,/en/players/1f61a78f/Anton,True,2021-2024,MF,Arosa,ESP
Antón,/en/players/2ede4f58/Anton,True,2020-2024,DF,Compostela,ESP
Antón,/en/players/88374f5a/Anton,True,2020-2024,DF,"Castellón, Alcoyano",ESP
Josep Antoni Gayá,/en/players/4a5f2032/Josep-Antoni-Gaya,True,2020-2024,DF,"Amorebieta, Mallorca",ESP
José Antonio Caro,/en/players/02e4da70/Jose-Antonio-Caro,True,2013-2024,DF,"UD Melilla, Córdoba, Albacete, Elche, Betis",ESP
José Antonio Espín,/en/players/1da3da15/Jose-Antonio-Espin,True,2006-2024,DF,"Jaén, Guadalajara, Mirandés, Ciudad Murcia",ESP
José Antonio,/en/players/62a583ee/Jose-Antonio,True,2022-2024,FW,Cádiz,ESP
José Antonio,/en/players/bff6c67a/Jose-Antonio,True,2017-2024,MF,"UD Melilla, Granada",ESP
Juan Antonio,/en/players/083504ed/Juan-Antonio,True,2016-2024,MF,"Guijuelo, SD Formentera, Ibiza",ESP
José Antonio Ríos,/en/players/7f72a644/Jose-Antonio-Rios,True,2008-2024,DF,"Eibar, Ponferradina, Llagostera, Mirandés, Sevilla Atlético",ESP
Juan Antonio Ros,/en/players/44415755/Juan-Antonio-Ros,True,2021-2024,"DF,MF","Albacete, Lugo",ESP
Antoñito,/en/players/dbe519cf/Antonito,True,2007-2024,"DF,MF","Recreativo, Valladolid, Albacete, Córdoba, Cartagena",ESP
Antoniu,/en/players/af784a9e/Antoniu,True,2023-2024,MF,Espanyol,ESP
David Aparicio,/en/players/df0dc5f1/David-Aparicio,True,2020-2024,FW,Teruel,ESP
Jaime Ara,/en/players/fc18cb89/Jaime-Ara,True,2023-2024,MF,Barbastro,ESP
Aritz Arambarri,/en/players/f28876e5/Aritz-Arambarri,True,2019-2024,DF,"Leganés, Real Sociedad B, Real Sociedad",ESP
Arana,/en/players/453df987/Arana,True,2020-2024,MF,Namdhari FC,ESP
Arana,/en/players/94021206/Arana,True,2021-2024,FW,"Racing Santander, Eibar, Villarreal B",ESP
Aranda,/en/players/92dc3d1b/Aranda,True,2020-2024,MF,Lugo,ESP
Óscar Aranda,/en/players/4d3bdda7/Oscar-Aranda,True,2020-2024,FW,Famalicão,ESP
Aitor Aranzabe,/en/players/1e22646c/Aitor-Aranzabe,True,2021-2024,FW,Sestao,ESP
