Name,url,Active,Years Played,Position,Clubs Played,IOC
Illia Cherednychenko,/en/players/e9f894ba/Illia-Cherednychenko,True,2014-2015,MF,,UKR
Arsen Chernenko,/en/players/d94a778f/Arsen-Chernenko,True,2023-2024,FC Oberneuland,,UKR
Ruslan Chernenko,/en/players/9ed12941/Ruslan-Chernenko,True,2018-2024,MF,"Obolon-Brovar Kyiv, FC Spartak Varna",UKR
Oleksandr Chernov,/en/players/8d35972b/Oleksandr-Chernov,True,2023-2024,FW,Obolon-Brovar Kyiv,UKR
Inal Chertkoiev,/en/players/74b4edc9/Inal-Chertkoiev,True,2017-2023,MF,,UKR
Vadym Chervak,/en/players/e665c145/Vadym-Chervak,True,2017-2024,DF,FK Metalist 1925 Kharkiv,UKR
Volodymyr Chesnakov,/en/players/f4b852b5/Volodymyr-Chesnakov,True,2007-2024,"DF,MF",Vorskla Poltava,UKR
Aleks Chidomere,/en/players/d732864e/Aleks-Chidomere,True,2022-2023,FW,FK Metalist Kharkiv,UKR
Serhii Chobotenko,/en/players/78973e28/Serhii-Chobotenko,True,2018-2024,DF,"FC Polissya Zhytomyr, FC Mariupol, FC Kolos Kovalivka",UKR
Oleksandr Chornomorets,/en/players/7a204d92/Oleksandr-Chornomorets,True,2019-2024,DF,FC Kolos Kovalivka,UKR
Artem Chornyy,/en/players/ab07ef3c/Artem-Chornyy,True,2023-2024,FW,Obolon-Brovar Kyiv,UKR
Demyan Chubatyi,/en/players/84303a99/Demyan-Chubatyi,True,2022-2024,DF,FC Oleksandriya,UKR
Bohdan Chuiev,/en/players/13c80ced/Bohdan-Chuiev,True,2019-2024,DF,FK Mynai,UKR
Vyacheslav Churko,/en/players/b2c51c03/Vyacheslav-Churko,True,2012-2024,MF,"Zorya Luhansk, Illichivets Mariupol, FC Kolos Kovalivka, Metalist Kharkiv, Puskás Akadémia, Frosinon",UKR
Vladyslav Chushenko,/en/players/acf5e2a0/Vladyslav-Chushenko,True,2020-2021,DF,,UKR
Oleksandr Chuzhykov,/en/players/1437dd56/Oleksandr-Chuzhykov,True,2023-2024,MF,Blumenthaler U17,UKR
Dmytro Chygrynskiy,/en/players/b20f5a66/Dmytro-Chygrynskiy,True,2003-2024,DF,"Shakhtar Donetsk, AEK Athens, Ionikos, Dnipro Dnipropetrovsk, Metalurh Zaporizhya, Ukraine, Barcelon",UKR
Andrii Chyruk,/en/players/0794373f/Andrii-Chyruk,True,2022-2024,FW,FK Metalist 1925 Kharkiv,UKR
Vitalii Dakhnovskyi,/en/players/c8caba40/Vitalii-Dakhnovskyi,True,2021-2024,MF,Veres Rivne,UKR
Oleh Danchenko,/en/players/6822ea0c/Oleh-Danchenko,True,2013-2024,"DF,MF","Zorya Luhansk, Chornomorets Odesa, Anzhi Makhachkala, Rubin Kazan, Ufa, Yenisey Krasnoyarsk, Shakhta",UKR
Yevhenii Danylenko,/en/players/34af3c5c/Yevhenii-Danylenko,True,2023-2024,DF,Obolon-Brovar Kyiv,UKR
Artem Danyliuk,/en/players/c34377a2/Artem-Danyliuk,True,2022-2023,DF,,UKR
Yevhen Danyliuk,/en/players/8b36b57b/Yevhen-Danyliuk,True,2021-2024,MF,Chornomorets Odesa,UKR
Semen Datsenko,/en/players/faf32daf/Semen-Datsenko,True,2013-2019,DF,"Tavriya Simferopol, Illichivets Mariupol",UKR
Daniil Davydenko,/en/players/462f7010/Daniil-Davydenko,True,2020-2021,FW,,UKR
Serhii Davydov,/en/players/b9bd664b/Serhii-Davydov,True,2021-2022,MF,,UKR
Roman Debelko,/en/players/422cb825/Roman-Debelko,True,2015-2024,FW,"Kryvbas Kryvyi Rih, Stal Dniprodzerzhynsk, Karpaty Lviv",UKR
