Name,url,Active,Years Played,Position,Clubs Played,IOC
Anes Kordi,/en/players/84d41f83/Anes-Kordi,True,2022-2024,DF,"Hannover 96 U19, Hannover 96 U17",GER
André Kording,/en/players/f73b8d7c/Andre-Kording,True,2023-2024,MF,FC Gütersloh 2000,GER
Efe Korkut,/en/players/7157cde9/Efe-Korkut,True,2021-2024,MF,"Stuttgart U19, Nürnberg U17, Stuttgart U17",GER
Julien Korn,/en/players/d2ae3541/Julien-Korn,True,2021-2024,GK,"Hannover 96 U19, Hannover 96 U17",GER
Leonard Körner,/en/players/73fa9dac/Leonard-Korner,True,2023-2024,MF,VfB Waltrop U17,GER
Patrick Koronkiewicz,/en/players/0a41093a/Patrick-Koronkiewicz,True,2014-2024,"DF,MF",Viktoria Köln,GER
Gianluca Korte,/en/players/4e35c056/Gianluca-Korte,True,2011-2022,"FW,MF","Wehen Wiesbaden, Mannheim, Eintracht Braunschweig, Aalen",GER
Jerome Kortebusch,/en/players/af43aa46/Jerome-Kortebusch,True,2021-2024,DF,"Union Berlin U19, Union Berlin U17",GER
Kevin Kortum,/en/players/36a45e37/Kevin-Kortum,True,2023-2024,MF,Holstein Kiel U17,GER
Tim Korzuschek,/en/players/7e8f8f2d/Tim-Korzuschek,True,2021-2022,MF,,GER
Jaden Korzynietz,/en/players/5716bf27/Jaden-Korzynietz,True,2020-2024,MF,"Dortmund U19, Dortmund U17",GER
Leon Koß,/en/players/d004f84a/Leon-Koss,True,2022-2024,DF,"RB Leipzig U19, RB Leipzig U17",GER
Maximilian Kos,/en/players/2e4e16df/Maximilian-Kos,True,2023-2024,FW,Heidenheim U17,GER
Kadir Kosar,/en/players/2d478934/Kadir-Kosar,True,2023-2024,MF,Paderborn 07 U19,GER
Kacper Koscierski,/en/players/68dca6f9/Kacper-Koscierski,True,2023-2024,DF,Bochum U17,GER
Harun Köse,/en/players/ee18f8fa/Harun-Kose,True,2021-2024,FW,"Arminia Bielefeld U19, Arminia Bielefeld U17",GER
Hasan Köse,/en/players/16450560/Hasan-Kose,True,2021-2024,DF,"Arminia Bielefeld U19, Arminia Bielefeld U17",GER
Özgürcan Köse,/en/players/0694dc05/Ozgurcan-Kose,True,2023-2024,MF,Rot-Weiss Essen U17,GER
Melissa Kössler,/en/players/b1a198c6/Melissa-Kossler,True,2017-2025,FW,"Hoffenheim, Turbine Potsdam",GER
Leonie Köster,/en/players/2fdab516/Leonie-Koster,True,2020-2024,MF,"Basel, Eintracht Frankfurt",GER
Louis Köster,/en/players/e08ec400/Louis-Koster,True,2018-2023,MF,"Schalke 04 U17, Schalke 04 U19",GER
Luca Köster,/en/players/24164cb6/Luca-Koster,True,2022-2024,DF,Meppen U19,GER
Matthias Kösters,/en/players/86a398ea/Matthias-Kosters,True,2023-2024,GK,Bayern Munich U17,GER
Michael Kostka,/en/players/5e6bad0b/Michael-Kostka,True,2018-2023,DF,"Miedź Legnica, RB Leipzig U17, RB Leipzig U19",GER
Dominik Kother,/en/players/55e2e3e9/Dominik-Kother,True,2016-2024,"FW,MF","Jahn Regensburg, Karlsruher U19, Karlsruher, Mannheim, Karlsruher U17",GER
Tim Köther,/en/players/4c782197/Tim-Kother,True,2018-2024,MF,"MSV Duisburg, Alemannia Aachen U19, Düsseldorf U19",GER
Marzouk Kotya-Fofana,/en/players/8b2893f1/Marzouk-Kotya-Fofana,True,2020-2024,FW,"Alemannia Aachen U19, Alemannia Aachen U17, Köln U17",GER
Henri Koudossou,/en/players/2b9745cb/Henri-Koudossou,True,2022-2024,FW,"ADO Den Haag, SC Austria Lustenau",GER
Niko Koulis,/en/players/a83dba9d/Niko-Koulis,True,2021-2024,DF,Preußen Münster,GER
Mustafa Kourouma,/en/players/679deb2b/Mustafa-Kourouma,True,2019-2024,MF,"Rot-Weiss Essen, Rot-Weiss Essen U19, Dortmund U17",GER
Romeo Kovarszki,/en/players/7f29755d/Romeo-Kovarszki,True,2023-2024,DF,Schalke 04 U17,GER
Natasha Kowalski,/en/players/2fffa5fc/Natasha-Kowalski,True,2022-2024,MF,Essen,GER
Tamiou Kpebane,/en/players/056b650d/Tamiou-Kpebane,True,2022-2024,DF,"Eintracht Frankfurt U19, Eintracht Frankfurt U17",GER
Marwan Kponton,/en/players/0b1f1c8b/Marwan-Kponton,True,2022-2024,FW,"RB Leipzig U19, RB Leipzig U17",GER
Edwin Kracht,/en/players/97fe55db/Edwin-Kracht,True,2023-2024,MF,Energie Cottbus U17,GER
Keanu Kraft,/en/players/f4fb9303/Keanu-Kraft,True,2019-2022,DF,"Mainz 05 U17, Mainz 05 U19",GER
Julian Krahl,/en/players/5c9fe42b/Julian-Krahl,True,2016-2024,GK,"Kaiserslautern, RB Leipzig U19, Viktoria Berlin, RB Leipzig U17",GER
Elija Krahn,/en/players/d87d2cee/Elija-Krahn,True,2018-2024,MF,"Hamburger SV, Hamburger SV U17, Hamburger SV U19",GER
Christoph Kramer,/en/players/496aeede/Christoph-Kramer,True,2011-2024,MF,"Mönchengladbach, Bochum, Bayer Leverkusen, Germany",GER
