Name,url,Active,Years Played,Position,Clubs Played,IOC
Gregor Buchanan,/en/players/debf8e6c/Gregor-Buchanan,True,2012-2021,DF,"Dumbarton, Greenock Morton, Airdrie United, Queen of the South, St Mirren, Livingston",SCO
Liam Buchanan,/en/players/d844b44a/Liam-Buchanan,True,2007-2021,FW,"Partick Thistle, Alloa Athletic, Dunfermline Athletic, Livingston, Airdrie United",SCO
Lewis Budinauckas,/en/players/673f7ce9/Lewis-Budinauckas,True,2021-2023,GK,,SCO
Oliver Burke,/en/players/f631c17f/Oliver-Burke,True,2014-2024,"FW,MF","Birmingham City, Werder Bremen, Sheffield United, Nottingham Forest, Millwall, Alavés, RB Leipzig, W",SCO
Jack Burroughs,/en/players/49f8cc54/Jack-Burroughs,True,2018-2024,MF,"Lincoln City, Coventry City, Ross County",SCO
Liam Burt,/en/players/e9165bb1/Liam-Burt,True,2015-2019,MF,"Dumbarton, Alloa Athletic, Rangers",SCO
Luke Butterfield,/en/players/ffdb1087/Luke-Butterfield,True,2020-2024,MF,"Everton U21, Everton U23",SCO
George Byers,/en/players/f4c20cb3/George-Byers,True,2014-2024,MF,"Sheffield Wednesday, Blackpool, Swansea City, Swansea City U23, Portsmouth",SCO
Shaun Byrne,/en/players/11f4243f/Shaun-Byrne,True,2012-2024,MF,"Dundee, Raith Rovers, Livingston, Dunfermline Athletic",SCO
Chris Cadden,/en/players/25a40b06/Chris-Cadden,True,2013-2024,"DF,MF","Hibernian, Motherwell, Oxford United, Columbus Crew",SCO
Nicky Cadden,/en/players/bb9b9bac/Nicky-Cadden,True,2017-2024,MF,"Barnsley, Forest Green Rovers, Livingston, Greenock Morton, Ayr United",SCO
Tom Cairney,/en/players/a8748947/Tom-Cairney,True,2009-2024,MF,"Fulham, Blackburn Rovers, Hull City",SCO
Ross Callachan,/en/players/24a021cb/Ross-Callachan,True,2011-2024,MF,"Ross County, Raith Rovers, Hamilton Academical, St Johnstone, Heart of Midlothian, Dundee",SCO
Liam Callaghan,/en/players/703c99d0/Liam-Callaghan,True,2014-2015,MF,,SCO
Innes Cameron,/en/players/1f388e30/Innes-Cameron,True,2016-2024,"FW,MF","Kilmarnock, Queen of the South, Alloa Athletic, Ayr United",SCO
Kyle Cameron,/en/players/00ebaaef/Kyle-Cameron,True,2015-2024,DF,"Notts County, Torquay United, York City, Queen of the South, Newcastle United U23, Newport County",SCO
Lyall Cameron,/en/players/d3078d22/Lyall-Cameron,True,2018-2024,MF,Dundee,SCO
Brennan Camp,/en/players/378fc112/Brennan-Camp,True,2019-2023,DF,"Eastleigh, Weymouth",SCO
Allan Campbell,/en/players/858409be/Allan-Campbell,True,2015-2024,MF,"Luton Town, Millwall, Motherwell",SCO
Dean Campbell,/en/players/f3f818a9/Dean-Campbell,True,2016-2024,MF,"Barrow, Aberdeen, Stevenage, Kilmarnock",SCO
Josh Campbell,/en/players/1741b8ce/Josh-Campbell,True,2018-2024,MF,"Hibernian, Arbroath",SCO
Murray Campbell,/en/players/e9d4bc4c/Murray-Campbell,True,2022-2023,MF,,SCO
