Name,url,Active,Years Played,Position,Clubs Played,IOC
Fabienne Dörig,/en/players/2c1731d5/Fabienne-Dorig,True,2022-2024,FW,St. Gallen-Staad,SUI
Josip Drmić,/en/players/15ea94de/Josip-Drmic,True,2009-2024,FW,"Dinamo Zagreb, Zürich, Borussia Mönchengladbach, Rijeka, Bayer Leverkusen, Switzerland, Nürnberg, No",SUI
Kwadwo Duah,/en/players/66089708/Kwadwo-Duah,True,2016-2024,"FW,MF","Ludogorets Razgrad, St. Gallen, Nürnberg, Young Boys",SUI
Dylan Dugourd,/en/players/b8c50e7a/Dylan-Dugourd,True,2019-2020,FW,,SUI
Marie Dumas,/en/players/402eaf66/Marie-Dumas,True,2021-2023,MF,FC Yverdon,SUI
Tatiana Dumauthioz,/en/players/b23bf1bd/Tatiana-Dumauthioz,True,2020-2021,MF,,SUI
Adrian Durrer,/en/players/77c0565a/Adrian-Durrer,True,2020-2024,MF,"Lugano, FC Winterthur",SUI
Uchechi Duru,/en/players/2f9eff17/Uchechi-Duru,True,2023-2024,DF,Ingolstadt U19,SUI
Omer Dzonlagic,/en/players/53bd15e9/Omer-Dzonlagic,True,2015-2018,MF,Thun,SUI
Mischa Eberhard,/en/players/d8a9d7b9/Mischa-Eberhard,True,2023-2024,MF,FC Stade Lausanne-Ouchy,SUI
Emma Egli,/en/players/831611c1/Emma-Egli,True,2023-2024,DF,Grasshopper,SUI
Janina Egli,/en/players/24691d80/Janina-Egli,True,2022-2024,DF,Grasshopper,SUI
Leela Egli,/en/players/d798a561/Leela-Egli,True,2022-2024,MF,"Zürich, Freiburg, Switzerland",SUI
Saaza Egli,/en/players/6f2c85f4/Saaza-Egli,True,2022-2024,FW,"FC Luzern Frauen, FC Rapperswil-Jona",SUI
Amira Eicher,/en/players/435edebc/Amira-Eicher,True,2022-2024,GK,FC Rapperswil-Jona,SUI
Jan Elvedi,/en/players/e622de45/Jan-Elvedi,True,2020-2024,DF,"Kaiserslautern, Jahn Regensburg",SUI
Nico Elvedi,/en/players/48035304/Nico-Elvedi,True,2013-2024,DF,"Mönchengladbach, Switzerland, Zürich",SUI
Breel Embolo,/en/players/0b4f388a/Breel-Embolo,True,2013-2024,"FW,MF","Monaco, Mönchengladbach, Basel, Switzerland, Schalke 04",SUI
Annina Enz,/en/players/94bcdb15/Annina-Enz,True,2018-2024,MF,"FC Aarau, Zürich",SUI
Simon Enzler,/en/players/2753e59a/Simon-Enzler,True,2016-2020,GK,,SUI
Yoan Epitaux,/en/players/229993d8/Yoan-Epitaux,True,2019-2020,DF,,SUI
Géraldine Ess,/en/players/69394e70/Geraldine-Ess,True,2021-2024,MF,St. Gallen-Staad,SUI
Léo Farine,/en/players/674ed678/Leo-Farine,True,2019-2020,DF,,SUI
Christian Fassnacht,/en/players/0aeeed3f/Christian-Fassnacht,True,2016-2024,"FW,MF","Norwich City, Switzerland, Young Boys, Thun",SUI
Timothy Fayulu,/en/players/03b8f96e/Timothy-Fayulu,True,2018-2023,GK,"Sion, FC Winterthur",SUI
Valon Fazilu,/en/players/d5598d63/Valon-Fazilu,True,2015-2019,FW,Lugano,SUI
Fabio Fehr,/en/players/aeaf71c2/Fabio-Fehr,True,2021-2023,MF,Vaduz,SUI
Laura Felber,/en/players/c2197a1e/Laura-Felber,True,2020-2025,DF,"Servette, Switzerland",SUI
Svenja von Felten,/en/players/5346d64c/Svenja-von-Felten,True,2021-2024,DF,FC Aarau,SUI
Edimilson Fernandes,/en/players/3bb625ac/Edimilson-Fernandes,True,2014-2024,"DF,MF","Mainz 05, Switzerland, Sion, West Ham United, Fiorentina, Young Boys, Arminia Bielefeld",SUI
Filipe Ferreira,/en/players/465dffee/Filipe-Ferreira,True,2021-2024,FW,Grasshopper,SUI
Bradley Fink,/en/players/f2b04191/Bradley-Fink,True,2019-2024,FW,"Grasshopper, Basel, Dortmund U17, Dortmund U19, Dortmund II",SUI
Leandra Flury,/en/players/0cbb74e3/Leandra-Flury,True,2021-2024,DF,"Grasshopper, Zürich",SUI
Svenja Fölmli,/en/players/cbb37685/Svenja-Folmli,True,2021-2024,DF,"Freiburg, Switzerland",SUI
Fabian Frei,/en/players/9fb640a8/Fabian-Frei,True,2007-2024,"DF,MF","Basel, St. Gallen, Mainz 05, Switzerland",SUI
Filip Frei,/en/players/0359961d/Filip-Frei,True,2020-2024,DF,Radnički Niš,SUI
Luka Frei,/en/players/2bef3bce/Luka-Frei,True,2019-2020,MF,,SUI
Stefan Frei,/en/players/1d0a0f3e/Stefan-Frei,True,2009-2024,GK,"Seattle Sounders FC, Toronto FC",SUI
Alessandra de Freitas,/en/players/f99538ba/Alessandra-de-Freitas,True,2021-2024,MF,St. Gallen-Staad,SUI
Remo Freuler,/en/players/98d2c2c4/Remo-Freuler,True,2010-2024,MF,"Switzerland, Atalanta, Bologna, Nottingham Forest, Luzern, Grasshopper",SUI
Laura Frey,/en/players/90b33a45/Laura-Frey,True,2021-2024,DF,BSC YB Frauen,SUI
Michael Frey,/en/players/33182cb8/Michael-Frey,True,2011-2024,FW,"Queens Park Rangers, Young Boys, Antwerp, Zürich, Nürnberg, Waasland-Beveren, Fenerbahçe, Lille, Luz",SUI
Jérémy Frick,/en/players/a88c2e88/Jeremy-Frick,True,2019-2024,GK,"Servette, Switzerland",SUI
Seraina Friedli,/en/players/f7285fe4/Seraina-Friedli,True,2016-2024,GK,"Anderlecht, FC Aarau, Zürich, Florentia, Switzerland",SUI
Sarah Frischknecht,/en/players/30f7d8a9/Sarah-Frischknecht,True,2022-2024,MF,FC Rapperswil-Jona,SUI
Leon Frokaj,/en/players/31cca47f/Leon-Frokaj,True,2023-2024,MF,Basel,SUI
Irina Fuchs,/en/players/81765813/Irina-Fuchs,True,2022-2023,GK,,SUI
Guillerme Furrer,/en/players/84269925/Guillerme-Furrer,True,2019-2024,FW,"SC Freiburg II, Freiburg U19",SUI
Nadja Furrer,/en/players/9949ba2a/Nadja-Furrer,True,2019-2024,GK,FC Luzern Frauen,SUI
Adrian Gantenbein,/en/players/a10667f5/Adrian-Gantenbein,True,2022-2024,DF,FC Winterthur,SUI
Nathan Garcia,/en/players/35e60f02/Nathan-Garcia,True,2023-2024,FW,FC Stade Lausanne-Ouchy,SUI
Ulisses Garcia,/en/players/c952f633/Ulisses-Garcia,True,2013-2024,DF,"Young Boys, Marseille, Switzerland, Werder Bremen, Werder Bremen II",SUI
Cédric Gasser,/en/players/49d47a2b/Cedric-Gasser,True,2017-2023,"DF,MF","Vaduz, St. Gallen",SUI
Emilie Gavillet,/en/players/69295a72/Emilie-Gavillet,True,2023-2024,GK,ASD Calcio Pomigliano,SUI
Esey Gebreyesus,/en/players/95e29b9d/Esey-Gebreyesus,True,2022-2023,FW,,SUI
